,year,temperature,relative humidity,precipitation,surface pressure,million_60kgs_bag,nonbear_mill_trees,bear_mill_trees,avg_unemp_perc
0,2022-12-31,18.6,78.0,0.0,911.4,24.5,1500.0,6010.0,7.15
1,2023-12-31,20.7,78.0,0.0,913.4,28.5,1510.0,6100.0,
